Infection_Chance,0.5
Recovery_Time,70
Death_Chance,0.7
City_Size,1000000
Movement_Pattern,restricted

Results
Total_Infections,1000000
Total_Deaths,411590
Total_Recovered,176635
Peak_Infection_Rate,1000000
Time_to_Peak,0
Duration_of_Outbreak,365
Final_Healthy_Count,0
Final_Infected_Count,185
Final_Recovered_Count,176635
Final_Dead_Count,411590
Maximum_Infected_Simultaneously,1000000
Infection_Rate_Per_Day,2739.698630136986
Death_Rate_Per_Day,1127.6438356164383
Recovery_Rate_Per_Day,1611.5753424657535
Daily_Infection_Rates,999990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daily_Death_Rates,0,9999,9756,9520,9289,9062,8843,8628,8418,8214,8014,7820,7629,7445,7263,7087,6915,6747,6583,6423,6267,6115,5967,5821,5681,5542,5408,5277,5148,5023,4902,4782,4666,4553,4442,4335,4229,4126,4026,3929,3833,3740,3649,3560,3474,3390,3307,3227,3149,3072,2998,2925,2853,2784,2717,2650,2586,2524,2462,2403,2344,2287,2232,2177,2125,2073,2022,1973,1925,1878,1833,1789,1745,1703,1661,1621,1582,1543,1506,1469,1433,1399,1365,1332,1299,1268,1237,1207,1178,1149,1121,1094,1067,1041,1016,991,967,944,921,898,877,855,835,814,795,775,756,738,720,702,686,669,653,637,621,606,591,577,563,549,536,523,510,498,486,474,462,451,441,429,419,409,399,389,380,371,361,353,344,336,328,319,312,304,297,290,283,276,269,263,256,250,244,238,232,226,221,216,210,205,200,196,191,186,182,177,172,168,165,161,156,153,149,145,142,138,135,132,128,125,123,119,116,114,111,108,106,103,100,98,95,93,91,89,87,84,83,81,79,77,74,73,71,70,67,66,65,63,61,60,58,57,56,54,53,51,51,49,48,46,46,44,44,42,42,40,39,38,37,37,36,35,34,33,32,32,31,30,29,28,28,27,26,26,25,25,24,23,23,22,22,21,21,20,20,19,18,18,18,17,17,16,16,16,16,15,14,14,14,14,13,13,13,12,12,11,11,11,11,11,10,10,10,9,9,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
Daily_Recovery_Rates,0,14285,13938,13600,13270,12947,12633,12326,12027,11735,11450,11172,10900,10636,10377,10125,9879,9639,9405,9177,8954,8737,8525,8317,8116,7918,7726,7539,7355,7177,7003,6832,6667,6505,6347,6193,6042,5895,5752,5613,5476,5343,5214,5087,4963,4843,4725,4610,4499,4389,4283,4179,4077,3978,3882,3787,3695,3606,3518,3433,3349,3268,3189,3111,3036,2962,2890,2820,2751,2684,2619,2556,2494,2433,2374,2316,2260,2205,2152,2099,2048,1999,1950,1903,1857,1812,1768,1725,1683,1642,1602,1563,1525,1488,1452,1417,1382,1349,1316,1284,1253,1222,1193,1164,1136,1108,1081,1055,1029,1004,980,956,933,910,888,866,845,825,805,785,766,748,730,712,695,678,661,645,630,614,599,585,571,557,543,530,517,505,492,480,469,457,446,435,425,415,405,395,385,376,367,358,349,341,332,324,316,309,301,294,287,280,273,266,260,254,247,241,236,230,224,219,214,208,203,198,194,189,184,180,176,171,167,163,159,155,152,148,144,141,137,134,131,128,125,121,119,116,113,110,107,105,102,100,97,95,93,91,88,86,84,82,80,78,76,74,73,71,69,67,66,64,63,61,60,58,57,55,54,53,52,50,49,48,47,46,45,43,42,41,40,39,38,38,37,36,35,34,33,32,32,31,30,29,29,28,27,27,26,25,25,24,24,23,23,22,21,21,20,20,19,19,19,18,18,17,17,16,16,16,15,15,15,14,14,14,13,13,13,12,12,12,11,11,11,11,10,10,10,10,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
Daily_Healthy_Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daily_Infected_Count,1000000,975716,952022,928902,906343,884334,862858,841904,821459,801510,782046,763054,744525,726444,708804,691592,674798,658412,642424,626824,611603,596751,582259,568121,554324,540864,527730,514914,502411,490211,478306,466692,455359,444301,433512,422984,412713,402692,392914,383372,374063,364980,356117,347470,339033,330800,322768,314931,307283,299822,292541,285437,278507,271745,265146,258709,252428,246298,240318,234482,228789,223234,217813,212525,207364,202329,197417,192624,187948,183386,178934,174589,170350,166214,162179,158242,154400,150652,146994,143426,139945,136547,133232,129997,126841,123761,120756,117824,114963,112172,109449,106792,104200,101671,99203,96795,94446,92153,89916,87734,85604,83527,81499,79521,77590,75707,73870,72077,70328,68622,66956,65331,63745,62198,60689,59217,57781,56379,55011,53677,52375,51104,49864,48654,47473,46321,45198,44102,43031,41988,40970,39976,39006,38060,37137,36236,35358,34500,33664,32848,32051,31275,30517,29778,29056,28351,27663,26992,26338,25699,25076,24468,23875,23296,22732,22182,21645,21120,20609,20110,19623,19147,18683,18231,17789,17358,16939,16530,16129,15738,15358,14986,14623,14270,13925,13589,13260,12939,12627,12322,12023,11733,11450,11173,10903,10640,10382,10131,9887,9648,9416,9189,8967,8750,8538,8333,8131,7934,7742,7555,7374,7196,7023,6853,6689,6528,6370,6216,6067,5921,5779,5640,5504,5372,5243,5118,4994,4874,4757,4644,4532,4424,4317,4214,4112,4014,3918,3825,3734,3644,3556,3471,3388,3307,3228,3150,3074,3001,2930,2861,2793,2727,2663,2599,2537,2476,2417,2360,2304,2250,2196,2144,2093,2044,1995,1948,1903,1858,1814,1772,1730,1690,1650,1611,1572,1535,1500,1465,1431,1397,1365,1333,1301,1271,1241,1213,1185,1158,1131,1104,1079,1054,1029,1006,983,960,938,916,894,874,854,834,816,798,780,762,745,728,711,694,679,664,649,634,619,606,593,580,567,554,543,532,521,510,499,488,478,468,458,448,438,428,418,410,402,394,386,378,370,362,354,346,340,334,328,322,316,310,304,298,292,286,280,274,269,264,259,254,249,244,239,234,229,224,219,214,209,206,203,200,197,194,191,188,185
Daily_Recovered_Count,0,4286,8468,12548,16529,20414,24204,27902,31511,35032,38468,41820,45091,48282,51396,54434,57398,60290,63112,65866,68553,71175,73733,76229,78664,81040,83358,85620,87827,89981,92082,94132,96133,98085,99990,101848,103661,105430,107156,108840,110483,112086,113651,115178,116667,118120,119538,120921,122271,123588,124873,126127,127351,128545,129710,130847,131956,133038,134094,135124,136129,137110,138067,139001,139912,140801,141669,142516,143342,144148,144934,145701,146450,147180,147893,148588,149266,149928,150574,151204,151819,152419,153004,153575,154133,154677,155208,155726,156231,156724,157205,157674,158132,158579,159015,159441,159856,160261,160656,161042,161418,161785,162143,162493,162834,163167,163492,163809,164118,164420,164714,165001,165281,165554,165821,166081,166335,166583,166825,167061,167291,167516,167736,167950,168159,168363,168562,168756,168945,169130,169310,169486,169658,169826,169989,170148,170304,170456,170604,170748,170889,171027,171161,171292,171420,171545,171667,171786,171902,172015,172126,172234,172339,172442,172542,172640,172735,172828,172919,173008,173095,173179,173261,173341,173419,173496,173571,173644,173715,173784,173852,173918,173983,174046,174107,174167,174226,174283,174339,174394,174447,174499,174550,174599,174647,174694,174740,174785,174829,174872,174914,174955,174995,175034,175072,175109,175145,175180,175214,175247,175280,175312,175343,175373,175403,175432,175460,175488,175515,175541,175567,175592,175616,175640,175663,175686,175708,175730,175751,175772,175792,175812,175831,175850,175868,175886,175904,175921,175938,175954,175970,175985,176000,176015,176030,176044,176058,176071,176084,176097,176109,176121,176133,176145,176157,176168,176179,176190,176200,176210,176220,176230,176239,176248,176257,176266,176275,176284,176292,176300,176308,176316,176324,176331,176338,176345,176352,176359,176365,176371,176377,176383,176389,176395,176401,176407,176413,176418,176423,176428,176433,176438,176443,176448,176453,176458,176462,176466,176470,176474,176478,176482,176486,176490,176494,176498,176501,176504,176507,176510,176513,176516,176519,176522,176525,176528,176531,176534,176537,176540,176543,176546,176549,176552,176555,176558,176560,176562,176564,176566,176568,176570,176572,176574,176576,176578,176580,176582,176584,176586,176588,176590,176592,176594,176596,176598,176600,176602,176604,176606,176608,176610,176612,176614,176615,176616,176617,176618,176619,176620,176621,176622,176623,176624,176625,176626,176627,176628,176629,176630,176631,176632,176633,176634,176635
Daily_Dead_Count,0,9999,19755,29275,38564,47626,56469,65097,73515,81729,89743,97563,105192,112637,119900,126987,133902,140649,147232,153655,159922,166037,172004,177825,183506,189048,194456,199733,204881,209904,214806,219588,224254,228807,233249,237584,241813,245939,249965,253894,257727,261467,265116,268676,272150,275540,278847,282074,285223,288295,291293,294218,297071,299855,302572,305222,307808,310332,312794,315197,317541,319828,322060,324237,326362,328435,330457,332430,334355,336233,338066,339855,341600,343303,344964,346585,348167,349710,351216,352685,354118,355517,356882,358214,359513,360781,362018,363225,364403,365552,366673,367767,368834,369875,370891,371882,372849,373793,374714,375612,376489,377344,378179,378993,379788,380563,381319,382057,382777,383479,384165,384834,385487,386124,386745,387351,387942,388519,389082,389631,390167,390690,391200,391698,392184,392658,393120,393571,394012,394441,394860,395269,395668,396057,396437,396808,397169,397522,397866,398202,398530,398849,399161,399465,399762,400052,400335,400611,400880,401143,401399,401649,401893,402131,402363,402589,402810,403026,403236,403441,403641,403837,404028,404214,404396,404573,404745,404913,405078,405239,405395,405548,405697,405842,405984,406122,406257,406389,406517,406642,406765,406884,407000,407114,407225,407333,407439,407542,407642,407740,407835,407928,408019,408108,408195,408279,408362,408443,408522,408599,408673,408746,408817,408887,408954,409020,409085,409148,409209,409269,409327,409384,409440,409494,409547,409598,409649,409698,409746,409792,409838,409882,409926,409968,410010,410050,410089,410127,410164,410201,410237,410272,410306,410339,410371,410403,410434,410464,410493,410521,410549,410576,410602,410628,410653,410678,410702,410725,410748,410770,410792,410813,410834,410854,410874,410893,410911,410929,410947,410964,410981,410997,411013,411029,411045,411060,411074,411088,411102,411116,411129,411142,411155,411167,411179,411190,411201,411212,411223,411234,411244,411254,411264,411273,411282,411291,411300,411309,411318,411326,411334,411342,411349,411356,411363,411370,411377,411384,411391,411398,411404,411410,411416,411422,411428,411433,411438,411443,411448,411453,411457,411461,411465,411469,411473,411477,411481,411485,411489,411493,411497,411501,411505,411508,411511,411514,411517,411520,411523,411526,411529,411532,411534,411536,411538,411540,411542,411544,411546,411548,411550,411552,411554,411556,411558,411560,411562,411564,411566,411568,411570,411572,411574,411576,411578,411580,411582,411583,411584,411585,411586,411587,411588,411589,411590

Disease: Flu
Parameters
Population_Size,1000000
Initial_Infected,30
Blob_Speed,60
Infection_Chance,0.1
Recovery_Time,30
Death_Chance,0.001
City_Size,1000000
Movement_Pattern,free

Results
Total_Infections,1000000
Total_Deaths,921
Total_Recovered,998129
Peak_Infection_Rate,999999
Time_to_Peak,0
Duration_of_Outbreak,365
Final_Healthy_Count,0
Final_Infected_Count,29
Final_Recovered_Count,998129
Final_Dead_Count,921
Maximum_Infected_Simultaneously,999999
Infection_Rate_Per_Day,2739.6438356164385
Death_Rate_Per_Day,2.5232876712328767
Recovery_Rate_Per_Day,2737.123287671233
